rating,product,rev_title,rev_body
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",I was pretty scared to get this from some reviews that said ...,I was pretty scared to get this from some reviews that said it was fake. When I received it I checked the bottle because there are certain ways to tell if a vera wang perfume is fake. You can also tell from the numbers on the box. They should match the perfume. Rest assured this perfume is real and I will be purchasing again when I'm done with it ! Also there is no alcoholic smell when sprayed and smells just like I remember. I am very pleased !!
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Bottle is big enough to last you forever! Light weight scent !,"Got this perfume back when it was at Macy’s a few years ago! Just ran out and wanted to repurchase! I found this gem for $20! Not sure if that’s the same retail price at stores but it smells the same , authentic and has nostalgia . Great for a gift!"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Beautiful perfume.,"This is my first time trying the Vera Wang Princess perfume. I decided to give it a try based on good reviews, a lot of people seem to really love the perfume. Also the fact that I could get it for such a good price and haven’t had perfume in a while so why not?! I had read others bad reviews on the product and was worried this would be a fake. But after 2 full days of wearing it, I’m pretty sure it is the real thing. It lasts at least 8 hours on my skin, and has no alcohol scent, nor is it watered down. It has that deep, velvety scent that I love and reminds me of other legitimate perfumes I have had in the past. The scent is lovely, and just as described: fruity, floral with notes of amber and vanilla. I mostly smell the floral and almost a musky but feminine scent. I really do like it, my hubby has even complimented it. I think it’s a beautiful bottle and a really good size. Also, the packaging is so cute. Overall I would definitely recommend this perfume."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",It's vera to me,I dont know about the other reviews saying it's fake....maybe some are fake. But i have purchased Vera Wang princess from Macy's before so I do know the smell well. It's definitely the same smell. I wore it at work and a girl asked if I was wearing vera princess so it was recognizable.  Hope this helps :)
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",LOVE THE SMELL,"I love the warm smell of this perfume! It reminds me of ""Obsession"" but a lighter version with a fresh, powdery undertone. It gives me sensual vibes and although it's promoted as a night or winter months scent, I'd wear it anytime. I will have to come back to share the longevity."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Beautiful scent!!,Love this scent and is one of the more affordable perfumes but I've been wearing this scent on and off since it came out. Soft and a little sweet but sexy.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Smells fantastic and lasts for hours,"My husband bought this for me after reading the description and reviews. I've worn the same perfume for decades. I never even considered changing scents. Apparently, he wanted a change and started researching new perfumes for me, (since we were stuck at home together for months). Neither of us wanted me to smell like food, (vanilla, cupcakes, etc.) or an English flower garden. We tried quite a few different perfumes over the span of almost a year before finding this one. We both absolutely love this scent! It is not overpowering but lasts all day. It's now what I wear daily. The price was very reasonable for the size.  Shipping was fast and the bottle is cute."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",I Love It!!!,I love Princess by Vera Wang and I will buy it again. The scent is awesome  and I love the bottle shaped heart. The perfume  is the color purple  and I even brought this for a friend as well as myself... I highly recommend if you are looking for a perfume to try PRINCESS!
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Beautiful hearted bottle,"Thankfully I couldn’t believe how many I got compliments from my husband and everywhere I go..  loved those scents it’s almost like one of my favorite perfumes I always pick thos involved with vanilla chocolate and anything smell like sweet,sensual,soft, and making me feel gorgeous for evening! Of course, I’ll buy some more when it runs out of bottle near future….  I highly recommend you to try it for yourself whenever  it comes for occasion event! ;)"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",It’s real,Very impressed ! I actually thought this was going to be the small bottle for the price. However I’m pleased to see the larger size. It appears to be the real thing. Smells like myOther bottle of princess number on the bottle matches the box. There must have been a faulty batch out there years ago I saw negative reviews.. but I placed my order December 2019.
